Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1007399,860,25,2488,87.36,0.000%,3396.03223,5265.98,414.55,1587.8
TOTAL,1007399,860,25,2488,87.36,0.000%,3396.03223,5265.98,414.55,1587.8
