Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,8807,42131,823,68478,17217.55,0.000%,32.65928,67.26,3.92,2109.0
TOTAL,8807,42131,823,68478,17217.55,0.000%,32.65928,67.26,3.92,2109.0
